KDMBL,NOPOL,STATUS,MERK,TAHUN,UMUR,JENIS,DEPT,TOTAL KM TEMPUH,AKTIF / HARI,TOTAL RITASE,TOTAL TOKO,AVG TOKO,AVG RITASE
PWK608,B9672FCC,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI,838,7,7,185,26,1
PWK609,B9674FCC,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI,3008,22,22,662,30,1
PWK610,B9673FCC,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI,1818,15,15,427,28,1
PWK611,B9082FCA,AKTIF,HINO,2009,17,ENGKEL,PERISHABLE - ROTI,0,0,0,0,-,-
PWK612,F8403GM,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI,3252,22,22,670,30,1
PWK613,D8122EE,AKTIF,HINO,2012,14,ENGKEL,PERISHABLE - ROTI,3244,22,22,629,29,1
PWK614,F8401GM,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI,2523,19,19,579,30,1
PWK616,T8252AP,AKTIF,HINO,2021,5,ENGKEL,PERISHABLE - ROTI,3066,22,22,657,30,1
PWK617,D8840EE,AKTIF,MITSUBISHI,2013,13,DOUBLE,PERISHABLE - ROTI,3346,22,23,671,31,1
PWK618,T8394AK,AKTIF,ISUZU,2016,10,ENGKEL,PERISHABLE - ROTI,0,0,0,0,-,-
PWK619,B9919UF,P3AT,HINO,2009,17,ENGKEL,PERISHABLE - ROTI,0,0,0,0,-,-
PWK620,T8395AK,AKTIF,ISUZU,2016,10,ENGKEL,PERISHABLE - ROTI,735,5,5,148,30,1
PWK621,T8601AL,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - ROTI,1403,10,10,257,26,1
PWK622,T8614AL,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - ROTI,3289,22,22,679,31,1
PWK623,F8219GD,AKTIF,HINO,2012,14,ENGKEL,PERISHABLE - ROTI,2671,20,21,555,28,1
PWK624,F8655GK,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - ROTI,3231,22,22,686,31,1
PWK625,F8654GK,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - ROTI,2815,20,20,585,29,1
PWK626,T8615AL,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - ROTI,3140,22,22,677,31,1
PWK627,T8792AL,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI,3179,22,22,653,30,1
PWK628,T8794AL,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI,3496,22,22,670,30,1
PWK629,T8795AL,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI,3161,22,22,680,31,1
PWK630,T8796AL,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI,3325,22,22,658,30,1
PWK631,T8797AL,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI,2989,21,21,649,31,1
PWK632,T8058AQ,AKTIF,HINO,2023,3,ENGKEL,PERISHABLE - ROTI,3073,22,22,642,29,1
PWK633,T8696AQ,AKTIF,HINO,2025,1,ENGKEL,PERISHABLE - ROTI,3074,22,22,656,30,1
PWK634,T8697AQ,AKTIF,HINO,2025,1,ENGKEL,PERISHABLE - ROTI,3503,22,28,660,30,1
PWK635,T8698AQ,AKTIF,HINO,2025,1,ENGKEL,PERISHABLE - ROTI,3027,22,24,660,30,1
PWK650,T8425AO,AKTIF,HINO,2011,15,DOUBLE,MRBREAD,4410,21,22,22,1,1
PWK651,T8426AO,AKTIF,HINO,2011,15,DOUBLE,MRBREAD,4380,21,24,24,1,1
PWK652,T8506AO,AKTIF,HINO,2011,15,DOUBLE,MRBREAD,0,0,0,0,-,-
PWK653,T8582AJ,AKTIF,HINO,2015,11,DOUBLE,MRBREAD,4096,20,22,23,1,1
PWK654,T8771AJ,AKTIF,HINO,2015,11,DOUBLE,MRBREAD,3804,19,21,22,1,1
PWK655,T8773AJ,AKTIF,HINO,2015,11,DOUBLE,MRBREAD,1939,10,12,12,1,1
PWK657,T8203AK,AKTIF,HINO,2015,11,DOUBLE,MRBREAD,3935,21,21,24,1,1
PWK658,T8204AK,AKTIF,HINO,2015,11,DOUBLE,MRBREAD,5128,21,30,39,2,1
PWK659,T8205AK,AKTIF,HINO,2015,11,DOUBLE,MRBREAD,4305,20,26,26,1,1
PWK660,T8206AK,AKTIF,HINO,2014,12,DOUBLE,MRBREAD,4130,20,22,23,1,1
PWK661,T8207AK,AKTIF,HINO,2015,11,DOUBLE,MRBREAD,5164,22,27,28,1,1
